City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahuva,IN,77.52,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
7,Mahebourg,MU,66.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Hervey Bay,AU,75.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
17,Scobinti,RO,67.68,light rain,47.3833,26.9333,Loc fără semnal Digi
18,Ribeira Grande,PT,74.23,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
20,Qujing,CN,70.14,overcast clouds,25.4833,103.7833,Yulong Hotel
21,Rikitea,PF,68.68,scattered clouds,-23.1203,-134.9692,People ThankYou
23,Kuliyapitiya,LK,76.68,overcast clouds,7.4688,80.0401,Rest House
26,Sinnamary,GF,78.73,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
32,Portland,US,72.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
33,Tartagal,AR,66.02,clear sky,-22.5164,-63.8013,Almuñecar Hotel
34,Bilibino,RU,67.3,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
45,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
50,Ponta Delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
54,Bambous Virieux,MU,65.21,few clouds,-20.3428,57.7575,Casa Tia Villa
55,Saint Anthony,US,69.93,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
59,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
60,Puerto Ayora,EC,70.2,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Veraval,IN,78.93,overcast clouds,20.9,70.3667,Lords Inn Somnath
66,Portobelo,PA,79.86,scattered clouds,9.55,-79.65,Scuba Portobelo
67,Cherskiy,RU,70.14,broken clouds,68.75,161.3,Gostinitsa
69,Quatre Cocos,MU,66.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
83,Chapais,CA,78.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
86,Puerto Baquerizo Moreno,EC,70.2,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
89,Lubuk Pakam,ID,77.14,overcast clouds,3.5604,98.8767,OYO 2538 Hotel Anugerah
92,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
