City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahuva,IN,2021-08-22 01:32:49,21.0914,71.7622,77.52,85,99,6.33,overcast clouds
1,Mataura,NZ,2021-08-22 01:31:15,-46.1927,168.8643,60.48,59,50,7.52,scattered clouds
2,Busselton,AU,2021-08-22 01:31:23,-33.65,115.3333,53.04,63,99,8.48,overcast clouds
3,Prince Rupert,CA,2021-08-22 01:30:15,54.3161,-130.3201,58.69,82,75,4.61,broken clouds
4,Longyearbyen,SJ,2021-08-22 01:28:10,78.2186,15.6401,40.84,70,75,3.44,broken clouds
5,Dikson,RU,2021-08-22 01:31:30,73.5069,80.5464,41.74,96,100,14.81,overcast clouds
6,Bousso,TD,2021-08-22 01:32:50,10.4795,16.7117,72.3,95,95,7.74,overcast clouds
7,Mahebourg,MU,2021-08-22 01:27:51,-20.4081,57.7,66.25,88,20,4.61,few clouds
8,Lyuban,BY,2021-08-22 01:32:50,52.7985,28.0048,50.88,93,15,4.68,few clouds
9,Lavrentiya,RU,2021-08-22 01:32:20,65.5833,-171.0,52.79,74,12,11.65,few clouds
10,Butaritari,KI,2021-08-22 01:28:45,3.0707,172.7902,82.36,71,34,9.19,scattered clouds
11,Ayagoz,KZ,2021-08-22 01:32:51,47.9714,80.4392,57.94,30,0,19.53,clear sky
12,Port Elizabeth,ZA,2021-08-22 01:31:22,-33.918,25.5701,50.29,87,0,5.75,clear sky
13,Saint-Philippe,RE,2021-08-22 01:32:29,-21.3585,55.7679,69.39,79,3,7.29,clear sky
14,Cidreira,BR,2021-08-22 01:32:21,-30.1811,-50.2056,61.34,92,20,16.73,few clouds
15,Miri,MY,2021-08-22 01:32:51,4.4148,114.0089,80.74,83,40,4.61,scattered clouds
16,Hervey Bay,AU,2021-08-22 01:32:51,-25.2986,152.8535,75.31,59,0,2.44,clear sky
17,Scobinti,RO,2021-08-22 01:32:52,47.3833,26.9333,67.68,78,29,5.95,light rain
18,Ribeira Grande,PT,2021-08-22 01:31:34,38.5167,-28.7,74.23,88,97,12.84,overcast clouds
19,Lighthouse Point,US,2021-08-22 01:32:52,26.2756,-80.0873,85.05,73,1,9.22,clear sky
20,Qujing,CN,2021-08-22 01:32:52,25.4833,103.7833,70.14,75,98,14.25,overcast clouds
21,Rikitea,PF,2021-08-22 01:31:25,-23.1203,-134.9692,68.68,60,48,20.58,scattered clouds
22,Amahai,ID,2021-08-22 01:32:53,-3.3333,128.9167,80.74,78,100,4.03,overcast clouds
23,Kuliyapitiya,LK,2021-08-22 01:32:53,7.4688,80.0401,76.68,85,100,4.88,overcast clouds
24,Victoria,HK,2021-08-22 01:28:05,22.2855,114.1577,88.97,80,58,1.01,broken clouds
25,Chokurdakh,RU,2021-08-22 01:31:33,70.6333,147.9167,47.34,71,100,15.84,overcast clouds
26,Sinnamary,GF,2021-08-22 01:28:28,5.3833,-52.95,78.73,87,42,11.03,scattered clouds
27,San Patricio,US,2021-08-22 01:29:18,28.017,-97.5169,87.89,59,13,12.46,few clouds
28,Thompson,CA,2021-08-22 01:32:54,55.7435,-97.8558,53.76,76,90,9.22,overcast clouds
29,Port Alfred,ZA,2021-08-22 01:31:22,-33.5906,26.891,53.83,81,5,11.65,clear sky
30,Ushuaia,AR,2021-08-22 01:31:18,-54.8,-68.3,31.66,69,40,8.05,scattered clouds
31,Caruray,PH,2021-08-22 01:32:54,10.3094,119.0128,86.2,62,100,1.12,overcast clouds
32,Portland,US,2021-08-22 01:32:22,45.5234,-122.6762,72.61,62,75,1.01,broken clouds
33,Tartagal,AR,2021-08-22 01:32:55,-22.5164,-63.8013,66.02,60,0,2.86,clear sky
34,Bilibino,RU,2021-08-22 01:30:30,68.0546,166.4372,67.3,41,84,3.53,broken clouds
35,Tuktoyaktuk,CA,2021-08-22 01:31:18,69.4541,-133.0374,49.44,79,59,2.77,broken clouds
36,Agirish,RU,2021-08-22 01:32:55,61.9247,63.0231,67.24,74,99,6.31,overcast clouds
37,Umm Kaddadah,SD,2021-08-22 01:32:56,13.6017,26.6876,82.54,53,71,9.57,broken clouds
38,Hamilton,US,2021-08-22 01:31:30,39.1834,-84.5333,80.78,76,1,0.0,clear sky
39,Nanortalik,GL,2021-08-22 01:32:56,60.1432,-45.2371,45.95,79,100,7.16,overcast clouds
40,Hofn,IS,2021-08-22 01:30:03,64.2539,-15.2082,51.94,76,100,6.82,overcast clouds
41,Hermanus,ZA,2021-08-22 01:31:23,-34.4187,19.2345,50.9,74,0,7.36,clear sky
42,Tiksi,RU,2021-08-22 01:28:21,71.6872,128.8694,41.05,96,100,8.61,overcast clouds
43,Andilamena,MG,2021-08-22 01:32:57,-17.0167,48.5833,54.75,91,40,5.79,scattered clouds
44,Coquimbo,CL,2021-08-22 01:32:57,-29.9533,-71.3436,56.93,94,0,3.44,clear sky
45,Sibu,MY,2021-08-22 01:28:58,2.3,111.8167,75.51,94,40,4.61,scattered clouds
46,Cape Town,ZA,2021-08-22 01:31:45,-33.9258,18.4232,51.12,87,0,4.61,clear sky
